source,target
№,No
℡,TEL
⑴,(1)
⑵,(2)
⑶,(3)
⑷,(4)
⑸,(5)
⑹,(6)
⑺,(7)
⑻,(8)
⑼,(9)
⑽,(10)
⑾,(11)
⑿,(12)
⒀,(13)
⒁,(14)
⒂,(15)
⒃,(16)
⒄,(17)
⒅,(18)
⒆,(19)
⒇,(20)
㈠,(一)
㈡,(二)
㈢,(三)
㈣,(四)
㈤,(五)
㈥,(六)
㈦,(七)
㈧,(八)
㈨,(九)
㈩,(十)
㈪,(月)
㈫,(火)
㈬,(水)
㈭,(木)
㈮,(金)
㈯,(土)
㈰,(日)
㈱,(株)
㈲,(有)
㈳,(社)
㈶,(財)
㈷,(祝)
㈹,(代)
㌀,アパート
㌁,アルファ
㌂,アンペア
㌃,アール
㌄,イニング
㌅,インチ
㌆,ウォン
㌇,エスクード
㌈,エーカー
㌉,オンス
㌊,オーム
㌋,カイリ
㌌,カラット
㌍,カロリー
㌎,ガロン
㌏,ガンマ
㌐,ギガ
㌑,ギニー
㌒,キュリー
㌓,ギルダー
㌔,キロ
㌕,キログラム
㌖,キロメートル
㌗,キロワット
㌘,グラム
㌙,グラムトン
㌚,クルゼイロ
㌛,クローネ
㌜,ケース
㌝,コルナ
㌞,コーポ
㌟,サイクル
㌠,サンチーム
㌡,シリング
㌢,センチ
㌣,セント
㌤,ダース
㌥,デシ
㌦,ドル
㌧,トン
㌨,ナノ
㌩,ノット
㌪,ハイツ
㌫,パーセント
㌭,バーレル
㌮,ピアストル
㌯,ピクル
㌰,ピコ
㌱,ビル
㌲,ファラッド
㌳,フィート
㌴,ブッシェル
㌵,フラン
㌶,ヘクタール
㌷,ペソ
㌸,ペニヒ
㌹,ヘルツ
㌺,ペンス
㌻,ページ
㌼,ベータ
㌽,ポイント
㌾,ボルト
㌿,ホン
㍀,ポンド
㍁,ホール
㍂,ホーン
㍃,マイクロ
㍄,マイル
㍅,マッハ
㍆,マルク
㍇,マンション
㍈,ミクロン
㍉,ミリ
㍊,ミリバール
㍋,メガ
㍌,メガトン
㍍,メートル
㍎,ヤード
㍏,ヤール
㍑,リットル
㍒,リラ
㍓,ルピー
㍔,ルーブル
㍕,レム
㍖,レントゲン
㍗,ワット
㍘,0点
㍙,1点
㍚,2点
㍛,3点
㍜,4点
㍝,5点
㍞,6点
㍟,7点
㍠,8点
㍡,9点
㍢,10点
㍣,11点
㍤,12点
㍥,13点
㍦,14点
㍧,15点
㍨,16点
㍩,17点
㍪,18点
㍫,19点
㍬,20点
㍭,21点
㍮,22点
㍯,23点
㍰,24点
㍱,hPa
㍲,da
㍳,AU
㍴,bar
㍵,oV
㍶,pc
ﬀ,ff
ﬁ,fi
ﬂ,fl
ﬃ,ffi
ﬄ,ffl
